source_resource_id,source_resource_name,target_resource_id,target_resource_name,mapping_status,notes,confidence_score
arn:aws:ecr:us-east-1:418295703256:repository/alpha-worker-production,alpha-worker-production,arn:aws:ecr:us-east-1:418295703256:repository/alpha-worker,alpha-worker,pending,Alpha worker production to new architecture,95
arn:aws:ecr:us-east-1:418295703256:repository/client-worker-production,client-worker-production,arn:aws:ecr:us-east-1:418295703256:repository/client-worker,client-worker,pending,Client worker production to new architecture,95
arn:aws:ecr:us-east-1:418295703256:repository/gbp-worker-production,gbp-worker-production,arn:aws:ecr:us-east-1:418295703256:repository/gbp-worker,gbp-worker,pending,GBP worker production to new architecture,95
arn:aws:ecr:us-east-1:418295703256:repository/image-worker-production,image-worker-production,arn:aws:ecr:us-east-1:418295703256:repository/image-worker,image-worker,pending,Image worker production to new architecture,95
arn:aws:ecr:us-east-1:418295703256:repository/internal-server-production,internal-server-production,arn:aws:ecr:us-east-1:418295703256:repository/internal-server,internal-server,pending,Internal server production to new architecture,95
arn:aws:ecr:us-east-1:418295703256:repository/lead-magnet-worker-production,lead-magnet-worker-production,arn:aws:ecr:us-east-1:418295703256:repository/lead-magnet-worker,lead-magnet-worker,pending,Lead magnet worker production to new architecture,95
arn:aws:ecr:us-east-1:418295703256:repository/link-scraper-worker-production,link-scraper-worker-production,arn:aws:ecr:us-east-1:418295703256:repository/link-scraper-worker,link-scraper-worker,pending,Link scraper worker production to new architecture,95
arn:aws:ecr:us-east-1:418295703256:repository/media-worker-production,media-worker-production,arn:aws:ecr:us-east-1:418295703256:repository/media-worker,media-worker,pending,Media worker production to new architecture,95
arn:aws:ecr:us-east-1:418295703256:repository/pipedrive-worker-production,pipedrive-worker-production,arn:aws:ecr:us-east-1:418295703256:repository/pipedrive-worker,pipedrive-worker,pending,Pipedrive worker production to new architecture,95
arn:aws:ecr:us-east-1:418295703256:repository/victor-worker-production,victor-worker-production,arn:aws:ecr:us-east-1:418295703256:repository/victor-worker,victor-worker,pending,Victor worker production to new architecture,95
arn:aws:ecr:us-east-1:418295703256:repository/website-creation-worker-production,website-creation-worker-production,arn:aws:ecr:us-east-1:418295703256:repository/website-creation-worker,website-creation-worker,pending,Website creation worker production to new architecture,95
arn:aws:ecr:us-east-1:418295703256:repository/leads-server-rest,leads-server-rest,arn:aws:ecr:us-east-1:418295703256:repository/leads-server,leads-server,pending,Leads server REST to new architecture,90
arn:aws:ecr:us-east-1:418295703256:repository/links-server-rest,links-server-rest,arn:aws:ecr:us-east-1:418295703256:repository/links-server,links-server,pending,Links server REST to new architecture,90
arn:aws:ecr:us-east-1:418295703256:repository/public-server-rest,public-server-rest,arn:aws:ecr:us-east-1:418295703256:repository/public-server,public-server,pending,Public server REST to new architecture,90
arn:aws:ecr:us-east-1:418295703256:repository/mononest-tasks-server-prod,mononest-tasks-server-prod,arn:aws:ecr:us-east-1:418295703256:repository/tasks-server,tasks-server,pending,Mononest tasks server to new architecture,85
arn:aws:ecr:us-east-1:418295703256:repository/mononest-workers-prod,mononest-workers-prod,arn:aws:ecr:us-east-1:418295703256:repository/alpha-worker,alpha-worker,pending,Mononest workers to alpha worker,75
arn:aws:ecr:us-east-1:418295703256:repository/workers-production,workers-production,arn:aws:ecr:us-east-1:418295703256:repository/alpha-worker,alpha-worker,pending,Workers production to alpha worker,75
arn:aws:ecr:us-east-1:418295703256:repository/mononest-rest,mononest-rest,arn:aws:ecr:us-east-1:418295703256:repository/api-server,api-server,pending,Mononest REST to API server,80
arn:aws:ecr:us-east-1:418295703256:repository/business-data-scraper,business-data-scraper,arn:aws:ecr:us-east-1:418295703256:repository/link-scraper-worker,link-scraper-worker,pending,Business data scraper to link scraper worker,75
arn:aws:ecr:us-east-1:418295703256:repository/appointmentscraperstack6364a417/appointmentscraperfunctione3c7d842repo,appointmentscraperstack6364a417/appointmentscraperfunctione3c7d842repo,arn:aws:ecr:us-east-1:418295703256:repository/alpha-worker,alpha-worker,pending,Appointment scraper function to alpha worker,70
arn:aws:ecr:us-east-1:418295703256:repository/appointmentscraperstack6364a417/servicescraperfunction0a2e9585repo,appointmentscraperstack6364a417/servicescraperfunction0a2e9585repo,arn:aws:ecr:us-east-1:418295703256:repository/link-scraper-worker,link-scraper-worker,pending,Service scraper function to link scraper worker,70
arn:aws:ecr:us-east-1:418295703256:repository/media62933a29/appointmentscraperfunctione3c7d842repo,media62933a29/appointmentscraperfunctione3c7d842repo,arn:aws:ecr:us-east-1:418295703256:repository/media-worker,media-worker,pending,Media appointment scraper to media worker,70
arn:aws:ecr:us-east-1:418295703256:repository/media62933a29/servicescraperfunction0a2e9585repo,media62933a29/servicescraperfunction0a2e9585repo,arn:aws:ecr:us-east-1:418295703256:repository/media-worker,media-worker,pending,Media service scraper to media worker,70
arn:aws:ecr:us-east-1:418295703256:repository/websited1befa03/servicesscraperfunctioneb38c59erepo,websited1befa03/servicesscraperfunctioneb38c59erepo,arn:aws:ecr:us-east-1:418295703256:repository/website-creation-worker,website-creation-worker,pending,Website service scraper to website creation worker,70
arn:aws:ecr:us-east-1:418295703256:repository/zoca-websites-lambda,zoca-websites-lambda,arn:aws:ecr:us-east-1:418295703256:repository/website-creation-worker,website-creation-worker,pending,Zoca websites lambda to website creation worker,75
arn:aws:ecr:us-east-1:418295703256:repository/zoca-websites,zoca-websites,arn:aws:ecr:us-east-1:418295703256:repository/website-creation-worker,website-creation-worker,pending,Zoca websites to website creation worker,75
arn:aws:ecr:us-east-1:418295703256:repository/googlestack209b5c9d/googleadsapifunction028d5817repo,googlestack209b5c9d/googleadsapifunction028d5817repo,arn:aws:ecr:us-east-1:418295703256:repository/gbp-worker,gbp-worker,pending,Google Ads API function to GBP worker,70
arn:aws:ecr:us-east-1:418295703256:repository/localseolambdastack7b78be8f/keywordembeddingsfunction947b043erepo,localseolambdastack7b78be8f/keywordembeddingsfunction947b043erepo,arn:aws:ecr:us-east-1:418295703256:repository/alpha-worker,alpha-worker,pending,Local SEO keyword embeddings to alpha worker,65
arn:aws:ecr:us-east-1:418295703256:repository/prismbuilderstack0e380989/prismbuilderfunction98d2c3ddrepo,prismbuilderstack0e380989/prismbuilderfunction98d2c3ddrepo,arn:aws:ecr:us-east-1:418295703256:repository/website-creation-worker,website-creation-worker,pending,Prism builder function to website creation worker,65
arn:aws:ecr:us-east-1:418295703256:repository/rdsproxystack2468dc1af/rdsproxyfunction2dd7c5481repo,rdsproxystack2468dc1af/rdsproxyfunction2dd7c5481repo,arn:aws:ecr:us-east-1:418295703256:repository/api-server,api-server,pending,RDS proxy function to API server,60
arn:aws:ecr:us-east-1:418295703256:repository/rdsproxystacka7417d0d/rdsproxyfunction6aa41b8brepo,rdsproxystacka7417d0d/rdsproxyfunction6aa41b8brepo,arn:aws:ecr:us-east-1:418295703256:repository/api-server,api-server,pending,RDS proxy function to API server,60
arn:aws:ecr:us-east-1:418295703256:repository/zoca-query-generator-backend,zoca-query-generator-backend,arn:aws:ecr:us-east-1:418295703256:repository/api-server,api-server,pending,Query generator backend to API server,70
arn:aws:ecr:us-east-1:418295703256:repository/zoca-query-generator-frontend,zoca-query-generator-frontend,arn:aws:ecr:us-east-1:418295703256:repository/public-server,public-server,pending,Query generator frontend to public server,70
arn:aws:ecr:us-east-1:418295703256:repository/mononest,mononest,,,,Legacy container - review for deprecation,0
arn:aws:ecr:us-east-1:418295703256:repository/mononest-base,mononest-base,,,,Base image - review for deprecation,0
arn:aws:ecr:us-east-1:418295703256:repository/mononest-base-arm,mononest-base-arm,,,,Base ARM image - review for deprecation,0
arn:aws:ecr:us-east-1:418295703256:repository/nginx,nginx,,,,Infrastructure image - keep separate,0
arn:aws:ecr:us-east-1:418295703256:repository/nginx-arm,nginx-arm,,,,Infrastructure ARM image - keep separate,0
arn:aws:ecr:us-east-1:418295703256:repository/nginx-frontend,nginx-frontend,,,,Infrastructure frontend image - keep separate,0
arn:aws:ecr:us-east-1:418295703256:repository/nginx-leads-arm,nginx-leads-arm,,,,Infrastructure leads ARM image - keep separate,0
arn:aws:ecr:us-east-1:418295703256:repository/nginx-links-arm,nginx-links-arm,,,,Infrastructure links ARM image - keep separate,0
