source_resource_id,source_resource_name,target_resource_id,target_resource_name,mapping_status,notes
arn:aws:ecr:us-east-1:418295703256:repository/alpha-worker-production,alpha-worker-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/appointmentscraperstack6364a417/appointmentscraperfunctione3c7d842repo,appointmentscraperstack6364a417/appointmentscraperfunctione3c7d842repo,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/appointmentscraperstack6364a417/servicescraperfunction0a2e9585repo,appointmentscraperstack6364a417/servicescraperfunction0a2e9585repo,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/bullmq-exporter,bullmq-exporter,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/business-data-scraper,business-data-scraper,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/chrone-node,chrone-node,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/client-worker-production,client-worker-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/db-migration,db-migration,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/db-migration-prod-service,db-migration-prod-service,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/gbp-worker-production,gbp-worker-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/googlestack209b5c9d/googleadsapifunction028d5817repo,googlestack209b5c9d/googleadsapifunction028d5817repo,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/grafana,grafana,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/image-worker-production,image-worker-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/internal-server-production,internal-server-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/lead-magnet-worker-production,lead-magnet-worker-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/leads-server-rest,leads-server-rest,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/link-scraper-worker-production,link-scraper-worker-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/links-server-rest,links-server-rest,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/localseolambdastack7b78be8f/keywordembeddingsfunction947b043erepo,localseolambdastack7b78be8f/keywordembeddingsfunction947b043erepo,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/media62933a29/appointmentscraperfunctione3c7d842repo,media62933a29/appointmentscraperfunctione3c7d842repo,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/media62933a29/servicescraperfunction0a2e9585repo,media62933a29/servicescraperfunction0a2e9585repo,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/media-worker-production,media-worker-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/mononest,mononest,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/mononest-base,mononest-base,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/mononest-base-arm,mononest-base-arm,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/mononest-rest,mononest-rest,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/mononest-tasks-server-prod,mononest-tasks-server-prod,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/mononest-workers-prod,mononest-workers-prod,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/nginx,nginx,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/nginx-arm,nginx-arm,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/nginx-frontend,nginx-frontend,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/nginx-leads-arm,nginx-leads-arm,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/nginx-links-arm,nginx-links-arm,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/nginx-public-arm,nginx-public-arm,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/pipedrive-worker-production,pipedrive-worker-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/prismbuilderstack0e380989/prismbuilderfunction98d2c3ddrepo,prismbuilderstack0e380989/prismbuilderfunction98d2c3ddrepo,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/public-server-rest,public-server-rest,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/rdsproxystack2468dc1af/rdsproxyfunction2dd7c5481repo,rdsproxystack2468dc1af/rdsproxyfunction2dd7c5481repo,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/rdsproxystacka7417d0d/rdsproxyfunction6aa41b8brepo,rdsproxystacka7417d0d/rdsproxyfunction6aa41b8brepo,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/victor-worker-production,victor-worker-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/website-creation-worker-production,website-creation-worker-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/websited1befa03/servicesscraperfunctioneb38c59erepo,websited1befa03/servicesscraperfunctioneb38c59erepo,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/workers-production,workers-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/zoca-prometheus,zoca-prometheus,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/zoca-query-generator-backend,zoca-query-generator-backend,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/zoca-query-generator-frontend,zoca-query-generator-frontend,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/zoca-websites,zoca-websites,"","",pending,Manual mapping required - review naming patterns
arn:aws:ecr:us-east-1:418295703256:repository/zoca-websites-lambda,zoca-websites-lambda,"","",pending,Manual mapping required - review naming patterns
