"Source Name","Source Type","Source ID","Target Name","Target Type","Target ID","Mapping Type","Mapping Direction","Notes"
"AppointmentScraperFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:AppointmentScraperFunction","NO TARGET",,,"deprecated","old_to_new","Not in use"
"BookAppointmentFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:BookAppointmentFunction","zoca-chatbot-book-appointment-production","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:zoca-chatbot-book-appointment-production","replacement","old_to_new","Mapping 1 resource to 1 target resources"
"ByeEmailFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:ByeEmailFunction","NO TARGET",,,"to_be_removed","old_to_new","Not in use, were created as a part of POC."
"CacheOriginResponseHeaderStaging","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:CacheOriginResponseHeaderStaging","zoca-origin-request-production","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:zoca-origin-request-production","replacement","old_to_new","Bulk many-to-many mapping: 2 sources to 1 targets"
"call-multiple-lambdas","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:call-multiple-lambdas","NO TARGET",,,"to_be_removed","old_to_new","1 resources marked for to_be_removed"
"ChatbotFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:ChatbotFunction","zoca-chatbot-production","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:zoca-chatbot-production","replacement","old_to_new","Mapping 1 resource to 1 target resources"
"CloudwatchMetricsAlertSlackFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:CloudwatchMetricsAlertSlackFunction","zoca-slack-cloudwatch-metrics-alert-production","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:zoca-slack-cloudwatch-metrics-alert-production","replacement","old_to_new","Mapping 1 resource to 1 target resources"
"ECSFailureAlertSlackFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:ECSFailureAlertSlackFunction","zoca-slack-ecs-failure-alert-production","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:zoca-slack-ecs-failure-alert-production","replacement","old_to_new","Mapping 1 resource to 1 target resources"
"GenericLinkScraperWebsiteFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:GenericLinkScraperWebsiteFunction","zoca-website-generic-link-scraper-production","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:zoca-website-generic-link-scraper-production","replacement","old_to_new","Mapping 1 resource to 1 target resources"
"GoogleAdsApiFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:GoogleAdsApiFunction","zoca-google-production","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:zoca-google-production","replacement","old_to_new","Mapping 1 resource to 1 target resources"
"GoogleScraperFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:GoogleScraperFunction","zoca-scraper-google-production","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:zoca-scraper-google-production","replacement","old_to_new","Mapping 1 resource to 1 target resources"
"HelloEmailFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:HelloEmailFunction","NO TARGET",,,"to_be_removed","old_to_new","Not in use, were created as a part of POC."
"HostUpdateLambdaEdge","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:HostUpdateLambdaEdge","NO TARGET",,,"to_be_removed","old_to_new","1 resources marked for to_be_removed"
"ImageKitFunction","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:ImageKitFunction","zoca-media-imagekit-production","lambda-function","arn:aws:lambda:us-east-1:418295703256:function:zoca-media-imagekit-production","replacement","old_to_new","Mapping 1 resource to 1 target resources"
