source_resource_id,source_resource_name,target_resource_id,target_resource_name,mapping_status,notes
arn:aws:route53:::hostedzone/Z0434814T4KRQOSVQH2R,aestheticsbycliff.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z03339101M0WG08CSMZXM,allinonesalon.io.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z0038208A18JSS62KTAW,artistrybyandreaboutiques.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z05647381XI8UC5UHUJDY,asilihaircarecenter.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z01328483O97FUD7HQ3Q6,bodycelebration.net.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z07177488BGC2QLXAKJT,bookzoca.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z08418402DVGGL3IK92OG,breakoutskinclinic.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z0243069X6ST7FJQJTHK,detoxingthesole.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z02921311QCZGLT0NROTB,flawless-beautyspa.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z01433152SDJFCT1YHWEG,goldenhealing.us.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z060094439QBCWIFO42OF,goldenskincarebyval.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z076764830N36B2R2ZHWD,gtohealthandwellness.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z01209894YP4X6TG76A6,healthglamourmd.net.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z05784481PZG99CT47P2O,itsloca.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z025081153M5F7EM9VC4,kasthetixbeauty.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z07675701VN4MKGMPJHZR,kinkologyhaircare.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z10330993POO1TYOCS14H,legendarytotalwellness.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z02633933SEPLRPYYZEA,lltouch.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z09768093K2NHHLOPAMMV,lookinggood.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z02381762K7R79PCU61EE,lynnhudsonstotalbeautyrehabcenter.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z03826413VXIZI0V6XZG5,mywaxingandthreading.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z03657581S3JZ86JTHKPL,novalifeintegrative.care.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z04812943889Y5BWVFKLA,ohanasuntanning.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z079589732595DVRWRHSM,ommmangowellness.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z096082411IISCBT2UV1Y,qualitymovementpt.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z01412193FV63E0NGOOTH,redchairsalon.net.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z0470376Q45OYNAOOGID,revivescalpandbeauty.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z0786911VNZ7AUL1AWTU,sahil.sbs.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z0341887EKRSRF0VL67A,salondabala.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z025035713EUTMCQA9TQO,sbceventstudio.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z04014512PBEZJRR8UBOO,sheilamarieskin.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z09299563BEFVL9WMB19K,skin9studio.ca.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z0858376351TBUR0RFKJ0,skinsationclinic.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z081717122BAHTZ7KZ6FJ,srqslim.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z03179542OL61OH0B6F8H,starvibesorganicsalons.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z0590354357C6DK5NHHML,sugarmesoftlyutah.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z04589571EK8EW118G58T,teenastouchmassagetherapy.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z0402029NE893YG41M3R,theroyalbraidingstudio.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z042110529VNGMDA2BEPG,tryzoca.co.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z039781737EMV289N3HN8,vibebrow.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z0458121FDDNFYXWDGAW,weightloss.brightmedicalwellness.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z06002622M2WIZFPHI8LH,wellnessten.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z0498970H44CTYN0HCCB,zoca.ai.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z08315983DQNZP9MNJ1WJ,zoca.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z02087172XXS3LEO20A0T,zoca-crew.com.,"","",pending,AI mapping required - review patterns
arn:aws:route53:::hostedzone/Z04288213MFHDEH0UF046,zoca-management.,"","",pending,AI mapping required - review patterns
